209,Lavender Dark,163,123,167,#A37BA7,»,c2 bb
208,Lavender Very Dark,131,91,139,#835B8B,¼,c2 bc
3837,Lavender Ultra Dark,108,58,110,#6C3A6E,½,c2 bd
327,Violet Dark,99,54,102,#633666,¾,c2 be
153,Violet Very Light,230,204,217,#E6CCD9,¿,c2 bf
554,Violet Light,219,179,203,#DBB3CB,À,c3 80
553,Violet,163,99,139,#A3638B,Á,c3 81
552,Violet Medium,128,58,107,#803A6B,Â,c3 82
550,Violet Very Dark,92,24,78,#5C184E,Ã,c3 83
3747,Blue Violet Very Light,211,215,237,#D3D7ED,Ä,c3 84
341,Blue Violet Light,183,191,221,#B7BFDD,Å,c3 85
156,Blue Violet Medium Light,163,174,209,#A3AED1,Æ,c3 86
340,Blue Violet Medium,173,167,199,#ADA7C7,Ç,c3 87
155,Blue Violet Medium Dark,152,145,182,#9891B6,È,c3 88
3746,Blue Violet Dark,119,107,152,#776B98,É,c3 89
333,Blue Violet Very Dark,92,84,120,#5C5478,Ê,c3 8a
157,Cornflower Blue Very Light,187,195,217,#BBC3D9,Ë,c3 8b
794,Cornflower Blue Light,143,156,193,#8F9CC1,Ì,c3 8c
793,Cornflower Blue Medium,112,125,162,#707DA2,Í,c3 8d
3807,Cornflower Blue,96,103,140,#60678C,Î,c3 8e
792,Cornflower Blue Dark,85,91,123,#555B7B,Ï,c3 8f
158,Cornflower Blue Very Dark,76,82,110,#4C526E,Ð,c3 90
791,Cornflower Blue Very Dark,70,69,99,#464563,Ñ,c3 91
3840,Lavender Blue Light,176,192,218,#B0C0DA,Ò,c3 92
3839,Lavender Blue Medium,123,142,171,#7B8EAB,Ó,c3 93
3838,Lavender Blue Dark,92,114,148,#5C7294,Ô,c3 94
800,Delft Blue Pale,192,204,222,#C0CCDE,Õ,c3 95
809,Delft Blue,148,168,198,#94A8C6,Ö,c3 96
799,Delft Blue Medium,116,142,182,#748EB6,×,c3 97
798,Delft Blue Dark,70,106,142,#466A8E,Ø,c3 98
797,Royal Blue,19,71,125,#13477D,Ù,c3 99
796,Royal Blue Dark,17,65,109,#11416D,Ú,c3 9a
820,Royal Blue Very Dark,14,54,92,#0E365C,Û,c3 9b
162,Blue Ultra Very Light,219,236,245,#DBECF5,Ü,c3 9c
827,Blue Very Light,189,221,237,#BDDDED,Ý,c3 9d
813,Blue Light,161,194,215,#A1C2D7,Þ,c3 9e
826,Blue Medium,107,158,191,#6B9EBF,ß,c3 9f
825,Blue Dark,71,129,165,#4781A5,à,c3 a0
824,Blue Very Dark,57,105,135,#396987,á,c3 a1
996,Electric Blue Medium,48,194,236,#30C2EC,â,c3 a2
3843,Electric Blue,20,170,208,#14AAD0,ã,c3 a3
995,Electric Blue Dark,38,150,182,#2696B6,ä,c3 a4
3846,Turquoise Bright Light,6,227,230,#06E3E6,å,c3 a5
3845,Turquoise Bright Medium,4,196,202,#04C4CA,æ,c3 a6
3844,Turquoise Bright Dark,18,174,186,#12AEBA,ç,c3 a7
159,Blue Gray Light,199,202,215,#C7CAD7,è,c3 a8
160,Blue Gray Medium,153,159,183,#999FB7,é,c3 a9
161,Blue Gray,120,128,164,#7880A4,ê,c3 aa
3756,Baby Blue Ultra Very Light,238,252,252,#EEFCFC,ë,c3 ab
775,Baby Blue Very Light,217,235,241,#D9EBF1,ì,c3 ac
3841,Baby Blue Pale,205,223,237,#CDDFED,í,c3 ad
3325,Baby Blue Light,184,210,230,#B8D2E6,î,c3 ae
3755,Baby Blue,147,180,206,#92B4CE,ï,c3 af
334,Baby Blue Medium,115,159,193,#739FC1,ð,c3 b0
322,Baby Blue Dark,90,143,184,#5A8FB8,ñ,c3 b1
312,Baby Blue Very Dark,53,102,139,#35668B,ò,c3 b2
803,Baby Blue Ultra Very Dark,44,89,124,#2C597C,ó,c3 b3
336,Navy Blue,37,59,115,#253B73,ô,c3 b4
823,Navy Blue Dark,33,48,99,#213063,õ,c3 b5
939,Navy Blue Very Dark,27,40,83,#1B2853,ö,c3 b6
3753,Antique Blue Ultra Very Light,219,226,233,#DBE2E9,÷,c3 b7
3752,Antique Blue Very Light,199,209,219,#C7D1DB,ø,c3 b8
932,Antique Blue Light,162,181,198,#A2B5C6,ù,c3 b9
931,Antique Blue Medium,106,133,158,#6A859E,ú,c3 ba
930,Antique Blue Dark,69,92,113,#455C71,û,c3 bb
3750,Antique Blue Very Dark,56,76,94,#384C5E,ü,c3 bc
828,Sky Blue Very Light,197,232,237,#C5E8ED,ý,c3 bd
3761,Sky Blue Light,172,216,226,#ACD8E2,þ,c3 be
519,Sky Blue,126,177,200,#7EB1C8,ÿ,c3 bf
518,Wedgewood Light,79,147,167,#4F93A7,Ā,c4 80
3760,Wedgewood Medium,62,133,162,#3E85A2,ā,c4 81
517,Wedgewood Dark,59,118,143,#3B768F,Ă,c4 82
3842,Wedgewood Very Dark,50,102,124,#32667C,ă,c4 83
311,Wedgewood Ultra Very Dark,28,80,102,#1C5066,Ą,c4 84
747,Peacock Blue Very Light,229,252,253,#E5FCFD,ą,c4 85
3766,Peacock Blue Light,153,207,217,#99CFD9,Ć,c4 86
807,Peacock Blue,100,171,186,#64ABBA,ć,c4 87
806,Peacock Blue Dark,61,149,165,#3D95A5,Ĉ,c4 88
3765,Peacock Blue Very Dark,52,127,140,#347F8C,ĉ,c4 89
3811,Turquoise Very Light,188,227,230,#BCE3E6,Ċ,c4 8a
598,Turquoise Light,144,195,204,#90C3CC,ċ,c4 8b
597,Turquoise,91,163,179,#5BA3B3,Č,c4 8c
3810,Turquoise Dark,72,142,154,#488E9A,č,c4 8d
3809,Turquoise Vy Dark,63,124,133,#3F7C85,Ď,c4 8e
3808,Turquoise Ultra Very Dark,54,105,112,#366970,ď,c4 8f
928,Gray Green Very Light,221,227,227,#DDE3E3,Đ,c4 90
927,Gray Green Light,189,203,203,#BDCBCB,đ,c4 91
926,Gray Green Medium,152,174,174,#98AEAE,Ē,c4 92
3768,Gray Green Dark,101,127,127,#657F7F,ē,c4 93
924,Gray Green Vy Dark,86,106,106,#566A6A,Ĕ,c4 94
3849,Teal Green Light,82,179,164,#52B3AE,ĕ,c4 95
3848,Teal Green Medium,85,147,146,#419392,Ė,c4 96
3847,Teal Green Dark,52,125,117,#347D75,ė,c4 97
964,Sea Green Light,169,226,216,#A9E2D8,Ę,c4 98
959,Sea Green Medium,89,199,180,#59C7B4,ę,c4 99
958,Sea Green Dark,62,182,161,#3EB6A1,Ě,c4 9a
3812,Sea Green Very Dark,47,140,132,#2F8C84,ě,c4 9b
3851,Green Bright Light,73,179,161,#49B3A1,Ĝ,c4 9c
943,Green Bright Medium,61,147,132,#3D9384,ĝ,c4 9d
3850,Green Bright Dark,55,132,119,#378477,Ğ,c4 9e
993,Aquamarine Very Light,144,192,180,#90C0B4,ğ,c4 9f
992,Aquamarine Light,111,174,159,#6FAE9F,Ġ,c4 a0
3814,Aquamarine,80,139,125,#508B7D,ġ,c4 a1
991,Aquamarine Dark,71,123,110,#477B6E,Ģ,c4 a2
966,Jade Ultra Very Light,185,215,192,#B9D7C0,ģ,c4 a3
564,Jade Very Light,167,205,175,#A7CDAF,Ĥ,c4 a4
563,Jade Light,143,192,152,#8FC098,ĥ,c4 a5
562,Jade Medium,83,151,106,#53976A,Ħ,c4 a6
505,Jade Green,51,131,98,#338362,ħ,c4 a7
3817,Celadon Green Light,153,195,170,#99C3AA,Ĩ,c4 a8
3816,Celadon Green,101,165,125,#65A57D,ĩ,c4 a9
163,Celadon Green Medium,77,131,97,#4D8361,Ī,c4 aa
3815,Celadon Green Dark,71,119,89,#477759,ī,c4 ab
561,Celadon Green VD,44,106,69,#2C6A45,Ĭ,c4 ac
504,Blue Green Very Light,196,222,204,#C4DECC,ĭ,c4 ad
3813,Blue Green Light,178,212,189,#B2D4BD,Į,c4 ae
503,Blue Green Medium,123,172,148,#7BAC94,į,c4 af
502,Blue Green,91,144,113,#5B9071,İ,c4 b0
501,Blue Green Dark,57,111,82,#396F52,ı,c4 b1
500,Blue Green Very Dark,4,77,51,#044D33,Ĳ,c4 b2
955,Nile Green Light,162,214,173,#A2D6AD,ĳ,c4 b3
954,Nile Green,136,186,145,#88BA91,Ĵ,c4 b4
913,Nile Green Medium,109,171,119,#6DAB77,ĵ,c4 b5
912,Emerald Green Light,27,157,107,#1B9D6B,Ķ,c4 b6
911,Emerald Green Medium,24,144,101,#189065,ķ,c4 b7
910,Emerald Green Dark,24,126,86,#187E56,ĸ,c4 b8
909,Emerald Green Very Dark,21,111,73,#156F49,Ĺ,c4 b9
3818,Emerald Green Ultra Very Dark,17,90,59,#115A3B,ĺ,c4 ba
369,Pistachio Green Very Light,215,237,204,#D7EDCC,Ļ,c4 bb
368,Pistachio Green Light,166,194,152,#A6C298,ļ,c4 bc
320,Pistachio Green Medium,105,136,90,#69885A,Ľ,c4 bd
367,Pistachio Green Dark,97,122,82,#617A52,ľ,c4 be
319,Pistachio Grn Very Dark,32,95,46,#205F2E,Ŀ,c4 bf
890,Pistachio Grn Ultra Very Dark,23,73,35,#184923,ŀ,c5 80
164,Forest Green Light,200,216,184,#C8D8B8,Ł,c5 81
989,Forest Green,141,166,117,#8DA675,ł,c5 82
988,Forest Green Medium,115,139,91,#738B5B,Ń,c5 83
987,Forest Green Dark,88,113,65,#587141,ń,c5 84
986,Forest Green Very Dark,64,82,48,#405230,Ņ,c5 85
772,Yellow Green Very Light,228,236,212,#E4ECD4,ņ,c5 86
3348,Yellow Green Light,204,217,177,#CCD9B1,Ň,c5 87
3347,Yellow Green Medium,113,147,92,#71935C,ň,c5 88
3346,Hunter Green,64,106,58,#406A3A,ŉ,c5 89
3345,Hunter Green Dark,27,89,21,#1B5915,Ŋ,c5 8a
895,Hunter Green Very Dark,27,83,0,#1B5300,ŋ,c5 8b
704,Chartreuse Bright,158,207,52,#9ECF34,Ō,c5 8c
703,Chartreuse,123,181,71,#7BB547,ō,c5 8d
702,Kelly Green,71,167,47,#47A72F,Ŏ,c5 8e
701,Green Light,63,143,41,#3F8F29,ŏ,c5 8f
700,Green Bright,7,115,27,#07731B,Ő,c5 90
699,Green,5,101,23,#056517,ő,c5 91
907,Parrot Green Light,199,230,102,#C7E666,Œ,c5 92
906,Parrot Green Medium,127,179,53,#7FB335,œ,c5 93
905,Parrot Green Dark,98,138,40,#628A28,Ŕ,c5 94
904,Parrot Green Very Dark,85,120,34,#557822,ŕ,c5 95
472,Avocado Green Ultra Light,216,228,152,#D8E498,Ŗ,c5 96
471,Avocado Grn Very Light,174,191,121,#AEBF79,ŗ,c5 97
470,Avocado Grn Light,148,171,79,#94AB4F,Ř,c5 98
469,Avocado Green,114,132,60,#72843C,ř,c5 99
937,Avocado Green Medium,98,113,51,#627133,Ś,c5 9a
936,Avocado Green Very Dark,76,88,38,#4C5826,ś,c5 9b
935,Avocado Green Dark,66,77,33,#424D21,Ŝ,c5 9c
934,Avocado Grn Black,49,57,25,#313919,ŝ,c5 9d
523,Fern Green Light,171,177,151,#ABB197,Ş,c5 9e
3053,Green Gray,156,164,130,#9CA482,ş,c5 9f
3052,Green Gray Medium,136,146,104,#889268,Š,c5 a0
3051,Green Gray Dark,95,102,72,#5F6648,š,c5 a1
524,Fern Green Very Light,196,205,172,#C4CDAC,Ţ,c5 a2
522,Fern Green,150,158,126,#969E7E,ţ,c5 a3
520,Fern Green Dark,102,109,79,#666D4F,Ť,c5 a4
3364,Pine Green,131,151,95,#83975F,ť,c5 a5
3363,Pine Green Medium,114,130,86,#728256,Ŧ,c5 a6
3362,Pine Green Dark,94,107,71,#5E6B47,ŧ,c5 a7
165,Moss Green Very Light,239,244,164,#EFF4A4,Ũ,c5 a8
3819,Moss Green Light,224,232,104,#E0E868,ũ,c5 a9
166,Moss Green Medium Light,192,200,64,#C0C840,Ū,c5 aa
581,Moss Green,167,174,56,#A7AE38,ū,c5 ab
580,Moss Green Dark,136,141,51,#888D33,Ŭ,c5 ac
734,Olive Green Light,199,192,119,#C7C077,ŭ,c5 ad
733,Olive Green Medium,188,179,76,#BCB34C,Ů,c5 ae
732,Olive Green,148,140,54,#948C36,ů,c5 af
731,Olive Green Dark,147,139,55,#938B37,Ű,c5 b0
730,Olive Green Very Dark,130,123,48,#827B30,ű,c5 b1
3013,Khaki Green Light,185,185,130,#B9B982,Ų,c5 b2
3012,Khaki Green Medium,166,167,93,#A6A75D,ų,c5 b3
3011,Khaki Green Dark,137,138,88,#898A58,Ŵ,c5 b4
372,Mustard Light,204,183,132,#CCB784,ŵ,c5 b5
371,Mustard,191,166,113,#BFA671,Ŷ,c5 b6
370,Mustard Medium,184,157,100,#B89D64,ŷ,c5 b7
834,Golden Olive Very Light,219,190,127,#DBBE7F,Ÿ,c5 b8
833,Golden Olive Light,200,171,108,#C8AB6C,Ź,c5 b9
832,Golden Olive,189,155,81,#BD9B51,ź,c5 ba
831,Golden Olive Medium,170,143,86,#AA8F56,Ż,c5 bb
830,Golden Olive Dark,141,120,75,#8D784B,ż,c5 bc
829,Golden Olive Very Dark,126,107,66,#7E6B42,Ž,c5 bd
613,Drab Brown Very Light,220,196,170,#DCC4AA,ž,c5 be
612,Drab Brown Light,188,154,120,#BC9A78,ſ,c5 bf
611,Drab Brown,150,118,86,#967656,ƀ,c6 80
610,Drab Brown Dark,121,96,71,#796047,Ɓ,c6 81
3047,Yellow Beige Light,231,214,193,#E7D6C1,Ƃ,c6 82
3046,Yellow Beige Medium,216,188,154,#D8BC9A,ƃ,c6 83
3045,Yellow Beige Dark,188,150,106,#BC966A,Ƅ,c6 84
167,Yellow Beige Very Dark,167,124,73,#A77C49,ƅ,c6 85
746,Off White,252,252,238,#FCFCEE,Ɔ,c6 86
677,Old Gold Very Light,245,236,203,#F5ECCB,Ƈ,c6 87
422,Hazelnut Brown Light,198,159,123,#C69F7B,ƈ,c6 88
3828,Hazelnut Brown,183,139,97,#B78B61,Ɖ,c6 89
420,Hazelnut Brown Dark,160,112,66,#A07042,Ɗ,c6 8a
869,Hazelnut Brown Very Dark,131,94,57,#835E39,Ƌ,c6 8b
728,Topaz,228,180,104,#E4B468,ƌ,c6 8c
783,Topaz Medium,206,145,36,#CE9124,ƍ,c6 8d
782,Topaz Dark,174,119,32,#AE7720,Ǝ,c6 8e
781,Topaz Very Dark,162,109,32,#A26D20,Ə,c6 8f
780,Topaz Ultra Very Dark,148,99,26,#94631A,Ɛ,c6 90
676,Old Gold Light,229,206,151,#E5CE97,Ƒ,c6 91
729,Old Gold Medium,208,165,62,#D0A53E,ƒ,c6 92
680,Old Gold Dark,188,141,14,#BC8D0E,Ɠ,c6 93
3829,Old Gold Vy Dark,169,130,4,#A98204,Ɣ,c6 94
3822,Straw Light,246,220,152,#F6DC98,ƕ,c6 95
3821,Straw,243,206,117,#F3CE75,Ɩ,c6 96
3820,Straw Dark,223,182,95,#DFB65F,Ɨ,c6 97
3852,Straw Very Dark,205,157,55,#CD9D37,Ƙ,c6 98
445,Lemon Light,255,251,139,#FFFB8B,ƙ,c6 99
307,Lemon,253,237,84,#FDED54,ƚ,c6 9a
973,Canary Bright,255,227,0,#FFE300,ƛ,c6 9b
444,Lemon Dark,255,214,0,#FFD600,Ɯ,c6 9c
3078,Golden Yellow Very Light,253,249,205,#FDF9CD,Ɲ,c6 9d
727,Topaz Very Light,255,241,175,#FFF1AF,ƞ,c6 9e
726,Topaz Light,253,215,85,#FDD755,Ɵ,c6 9f
725,Topaz Medium Light,255,200,64,#FFC840,Ơ,c6 a0
972,Canary Deep,255,181,21,#FFB515,ơ,c6 a1
745,Yellow Pale Light,255,233,173,#FFE9AD,Ƣ,c6 a2
744,Yellow Pale,255,231,147,#FFE793,ƣ,c6 a3
743,Yellow Medium,254,211,118,#FED376,Ƥ,c6 a4
742,Tangerine Light,255,191,87,#FFBF57,ƥ,c6 a5
741,Tangerine Medium,255,163,43,#FFA32B,Ʀ,c6 a6
740,Tangerine,255,139,0,#FF8B00,Ƨ,c6 a7
970,Pumpkin Light,247,139,19,#F78B13,ƨ,c6 a8
971,Pumpkin,246,127,0,#F67F00,Ʃ,c6 a9
947,Burnt Orange,255,123,77,#FF7B4D,ƪ,c6 aa
946,Burnt Orange Medium,235,99,7,#EB6307,ƫ,c6 ab
900,Burnt Orange Dark,209,88,7,#D15807,Ƭ,c6 ac
967,Apricot Very Light,255,222,213,#FFDED5,ƭ,c6 ad
3824,Apricot Light,254,205,194,#FECDC2,Ʈ,c6 ae
3341,Apricot,252,171,152,#FCAB98,Ư,c6 af
3340,Apricot Medium,255,131,111,#FF836F,ư,c6 b0
608,Burnt Orange Bright,253,93,53,#FD5D35,Ʊ,c6 b1
606,Orange Red Bright,250,50,3,#FA3203,Ʋ,c6 b2
951,Tawny Light,255,226,207,#FFE2CF,Ƴ,c6 b3
3856,Mahogany Ultra Very Light,255,211,181,#FFD3B5,ƴ,c6 b4
722,Orange Spice Light,247,151,111,#F7976F,Ƶ,c6 b5
721,Orange Spice Medium,242,120,66,#F27842,ƶ,c6 b6
720,Orange Spice Dark,229,92,31,#E55C1F,Ʒ,c6 b7
3825,Pumpkin Pale,253,189,150,#FDBD96,Ƹ,c6 b8
922,Copper Light,226,115,35,#E27323,ƹ,c6 b9
921,Copper,198,98,24,#C66218,ƺ,c6 ba
920,Copper Medium,172,84,20,#AC5414,ƻ,c6 bb
919,Red Copper,166,69,16,#A64510,Ƽ,c6 bc
918,Red Copper Dark,130,52,10,#82340A,ƽ,c6 bd
3770,Tawny Vy Light,255,238,227,#FFEEE3,ƾ,c6 be
